,LR_prediction,NB_prediction,RF_prediction,TB_prediction,original_sentiment,vader_sentiment,tweet
802,positive,negative,neutral,positive,positive,positive,Cheering for Brazil to win this World Cup! #WorldCup2022
803,positive,positive,positive,negative,negative,neutral,Qatar were trash just now. They got cooked by Ecuador. #WorldCup2022  #FIFAWorldCup
804,positive,negative,negative,positive,positive,positive,Solid Work from these away fans #WorldCup2022 #Qatar2022 https://t.co/9NxKFgeI6F
805,positive,negative,neutral,positive,positive,positive,"#WorldCup2022 begins today with cool technology: MRE (Media Replay Engine) uses Computer Vision, AI/ML to analyze sports videos to easily search for and highlight key moments (Fouls, Trick Shots etc) in a game. A detailed writeup is here: https://t.co/8lJJSjaeSp"
806,positive,positive,negative,negative,negative,negative,"I should be excited that the #WorldCup2022 has started… but this Sunday is just a crazy and sad one 😔  Anyways, if you are in Qatar PLEASE follow the rules… rumors are a person got caught drinking…"
807,neutral,positive,neutral,positive,positive,positive,It’s a Sunday afternoon enjoy!!! #WorldCup2022 #FIFAWorldCup #QatarWorldCup2022 # https://t.co/0uQlK3ATEA
808,positive,positive,positive,negative,negative,negative,#WorldCup2022 worst pundit panel edition day 1 @stadiumastro #malaysia Sherwood Dyer and some other patsy that managed Thailand. Can anyone beat that dross? Honestly it was worse than a couple of drunks in a boozer…#astro #Qatar2022 https://t.co/aeAjCpmPzM
809,neutral,negative,negative,positive,positive,positive,My special one #WorldCup2022 now in #Quatar https://t.co/6Jf5xUj3b7
810,positive,positive,positive,negative,negative,negative,"Lebanese football fans in Qatar withdraw from meeting with an Israeli channel to reject normalisation, saying “It’s Palestine”.   #WorldCup2022   https://t.co/EljA4WY0op"
811,neutral,positive,negative,positive,positive,positive,"i haven't seen anything more beautiful about football championship ever  🤍🤍🤍🤍  I'm not a fan of #WorldCup2022 at all, but I'm a big lover of its schedule made by @aurora__hunters :)  #AuroraWorldCup2022  @nearcreative 💙 https://t.co/lPOVXNiS2c"
812,positive,neutral,positive,positive,neutral,positive,Betting has never been better With Coral  1. New Customers 2. Place £€5 bet on any market 3. Free bets paid as 4x £€5 Coral Link Below https://t.co/1Di5RX247L  . 18+T&amp;Cs GambleAwear #WorldcupQatar2022 #WCIxFootball  #sportsbetting #WorldCup2022 #gamblingtwitter #HorseRacing;0 https://t.co/4Pgwj2arcn
813,positive,positive,neutral,negative,negative,negative,#Qatar Becomes the first World Cup host to lose a opener.   #EcuadorQatar #WorldCup #WorldCup2022 #Ecuador #QatarWorldCup2022
814,neutral,neutral,positive,positive,positive,positive,So proud of Redone♥️🇲🇦  #WorldCup2022 #WorldcupQatar2022 https://t.co/3EzQY0ABbz
815,neutral,neutral,negative,negative,negative,neutral,Sitting here watching #WorldCup2022 with gurgling stomach coz I ate too many prunes last night.  #needtoiletsoon #doidaretofartnow #shartinpublic
816,positive,positive,positive,negative,negative,negative,#WorldCup2022  How many players will drop dead in the world cup?
817,neutral,positive,positive,neutral,neutral,positive,@TheBlancosLive I only need to predict one.   Argentina #WorldCup2022 winners
818,neutral,positive,neutral,positive,positive,positive,"Go #RodeDuivels and #TeamUSA! (And yeah I got keep the balance in the household - go #LaSeleccionArgentina)  #WorldCup2022 #FIFAWorldCup    (For the record, regardless of how the Belgian Squad does, may it be #Martinez 's last. We can do much better!)"
819,positive,negative,neutral,positive,positive,positive,Best thing about Ecuador winning is all those rumors about players being bribed to lose can finally stop being circulated 🙄 #WorldCup2022 #Qatar2022
820,neutral,positive,positive,neutral,neutral,positive,"Does anyone else keep an Excel spreadsheet to keep track of all the #FIFA #WorldCup matches, dates/times, final scores, highlighting predicted wins, percentage of predictions to actual wins, yellow/red cards, etc.? ...or is it just me? #WorldCup2022"
821,positive,negative,neutral,negative,neutral,positive,#Ecuador FTW! #Qatar Is The First Host To Lose A Opener.   #Soccer #FIFAWorldCup #WorldCup #WorldCup2022 #Sports #SportsGambling
822,positive,negative,negative,neutral,neutral,positive,A football fan raises Palestinian flag and wears keffiyeh during the #WorldCup2022 opening ceremony at Al-Bayt Stadium 🇵🇸 https://t.co/LAER5PY6GN
823,positive,negative,positive,neutral,neutral,positive,FIFA photoshoot for the Black Stars 🇬🇭 #RepublicSports  #WorldCup2022  #QatarWorldCup2022 #football #worldcup    Dede Ayew Habibi Hearts of Oak Russia 2018 Kwabena Yeboah Iran https://t.co/QznsnylIbs
824,neutral,positive,neutral,neutral,neutral,positive,I played college ball for a season with Graham Zusi’s older brother (Graham was on the World Cup ‘14 team.)  Am I officially Old™? 🙃  #Worldcup2022
825,neutral,positive,positive,positive,positive,neutral,Cristiano Ronaldo could become the first men's player to score at five World Cups 🐐 #worldcup #fifaworldcup #fifa #football #WorldCup2022 https://t.co/CNxcHSPdqB
826,positive,neutral,positive,neutral,positive,positive,"Who got #Brazil legendary #NFT from the @pepebettoken #WorldCup2022 game?  Absolutely HUGE 🇧🇷🔥  Check the prize potential, plus the jump in casino/betting platform profits share 🤯  Still 623 to mint: https://t.co/ZB6e0Qdm3B  #NFTs #Qatar2022 #Crypto #PepeBet  #100xGems $WCI https://t.co/wnO88bDRep"
827,positive,neutral,positive,neutral,neutral,positive,FIFA photoshoot for the Black Stars 🇬🇭 #RepublicSports  #WorldCup2022  #QatarWorldCup2022 #football #worldcup    Dede Ayew Habibi Hearts of Oak Russia 2018 Kwabena Yeboah Iran https://t.co/4n7dNoRsWL
828,neutral,positive,positive,positive,positive,positive,"We do miss watching World Cup with buddies in a crowed pub, and we do miss the age of economic blooming and peaceful world.  #longbridge #stocktrade #WorldCup2022"
829,neutral,positive,neutral,neutral,neutral,positive,✊🏻️️ 🏆ഒന്നിച്ചൊന്നായ്️ 🏆✊🏻️    Courtesy : Vineeth S Pillai  (Madhyamam Daily)  #QatarWorldCup #FootBallWorldCup #WorldCup2022 #Qatar  «««🇧🇭🏆🇧🇭🏆🇧🇭««« https://t.co/7ZRZzf6S3g
830,neutral,negative,positive,neutral,neutral,neutral,Where to watch the World Cup with kids in North East England:  https://t.co/178oVXAOaL  #WorldCup2022 https://t.co/P6GKrFGJZ4
831,neutral,negative,positive,positive,positive,neutral,"Drogba-esque Enner Valencia today, what a header #WorldCup2022 #EcuadorvsQatar"
832,neutral,positive,positive,neutral,neutral,positive,These players' tattoos tell many stories. Chris Richards shares why he got MLK on his arm in the link below. @ussoccer  @CPFC  @USMNT #futbol #soccer #worldcup2022 @FIFAWorldCup  https://t.co/aLxjrJVAo5 https://t.co/Kka8D6CXLS
833,negative,neutral,positive,negative,negative,negative,"@Justice_forum Impartially, it was a disaster to award the #WorldCup2022 to Qatar! I could say so@uch more, however I will refrain!"
834,positive,positive,neutral,positive,positive,positive,God bless @HybridLandtech for the 5k Airtime recieved  #WorldCup2022 https://t.co/KY5Xzhuo60
835,neutral,neutral,positive,neutral,neutral,neutral,Raising Palestinian flags during today's Qatar vs. Ecuador match at Al-Bayt Stadium.  #WorldCup2022 https://t.co/GLZxqCc8P6
836,neutral,negative,positive,neutral,neutral,neutral,Raising Palestinian flags during today's Qatar vs. Ecuador match at Al-Bayt Stadium.  #WorldCup2022 https://t.co/cOpWw6n9bp
837,positive,neutral,neutral,neutral,positive,positive,"⚽️ What Qatar is doing during #WorldCup2022 to spread the message of Islam 🕌   1. Sayings of Prophet ﷺ in every corner promoting the beauty of Islam.  2. Hotel rooms have a barcode that introduces the teachings of Islam, Hadeeths, and a simple definition of the Muslim faith."
838,neutral,negative,positive,neutral,neutral,neutral,Eye of the Tiger #XboxShare #WorldCup2022 https://t.co/7iJcWBC13I
839,positive,negative,negative,neutral,positive,positive,Back at work this morning with tomorrow booked off. Ready for tonight’s match #ThreeLions #WorldCup2022
840,neutral,neutral,neutral,positive,positive,positive,The Palestinian flag raised during #WorldCup2022 opening ceremony! ❤️🇵🇸  Show your support for Palestine and #RaisePalestineFlag! 🇵🇸🇵🇸🇵🇸 #Qatar2022 https://t.co/HH33BVQehk
841,positive,positive,positive,neutral,neutral,neutral,Raising Palestinian flags during today's Qatar vs. Ecuador match at Al-Bayt Stadium.  #WorldCup2022 https://t.co/gYLR1iB63e
842,neutral,positive,positive,positive,positive,neutral,Let's goal #MinifootballToken!! ⚽️🏆🔥💪 https://t.co/tDzVgC4q7c  #Crypto #Shiba #Doge #RichQUACK #Bitcoin #BTC  #Binance #Ethereum #ETH #HODL #Blockchain #Trading #Gaming #P2E #UEFA #WorldCup2022
843,neutral,positive,negative,neutral,neutral,neutral,".@theafcdotcom (AFC) President Shaikh Salman bin Ebrahim Al Khalifa and General Secretary  Datuk Seri Windsor John, stand with Palestinian Football.  #RaisePalestineFlag during the #WorldCup2022  #KickOutApartheid https://t.co/jjwyzIEnQ3"
844,neutral,neutral,neutral,positive,positive,positive,"#Alkubisi: I.can’t express my gratitude and happiness for my participation in the biggest event of all times the World Cup in my country #Qatar with the talented #Jungkook , thank you for everything #WorldCup2022  #JUNGKOOKxFIFA  #JungkookAtFIFAWorldCup  @BTS_twt   @bts_bighit https://t.co/yNFTEPU9gF"
845,positive,positive,neutral,neutral,neutral,neutral,#Iran #WorldCup2022 Politics precedes England's match against Iran at World Cup - The Associated Press - en Español https://t.co/MBDun8fZqe
846,positive,positive,negative,positive,positive,positive,⚽️ WORLD CUP BETTING! ⚽️ 🇺🇸 US PLAYERS WELCOME! 🇺🇸 💵 $250 Sign Up Bonus! 💵  Click Here: https://t.co/KpJjPwrm0D Enter Code: 3XBOOST250  #SportsBetting #WorldCupBetting #WorldCupBets #SportsBets #WorldCup2022 https://t.co/M54LMcmCYw
847,positive,positive,neutral,negative,negative,negative,10 mins into #WorldCup2022 and missed obvious yellow card and a phantom offside no goal. Tournament is all rigged up already.
848,neutral,neutral,negative,positive,positive,positive,The most beautiful moment of Qatar 2022 world cup  #Worldcup2022 https://t.co/3RXB7vTyqI
849,positive,neutral,negative,neutral,positive,neutral,"If you've not seen already, grab yourself a cuppa and check out @wizard_season's preview for England vs Iran!  He has provided us with two tips for this #WorldCup2022 match, including an 11/2 Bet Builder...🏴󠁧󠁢󠁥󠁮󠁧󠁿🇮🇷  BeGambleAware +18 Odds Subject To Change  https://t.co/jFgTR8It3Z"
850,neutral,negative,negative,neutral,neutral,neutral,"At just 18, #KRCGenk youngster Bilal El-Khannouss has been called up by Walid Regragui to the #Morocco squad for #WorldCup2022 🇲🇦  @brandthebeast goes in-depth, looking at why El-Khannouss will be one to watch in Qatar 👀👇 https://t.co/MVfVCTTMsB"
851,neutral,negative,neutral,positive,positive,positive,South Africa's world cup is still thee best #WorldCup2022
852,neutral,neutral,neutral,negative,negative,negative,Quatar had the financial ability to host the  #WorldCup2022 but they unfortunately got no team to play in the competition
853,positive,positive,negative,negative,negative,positive,So how you enjoying that soccer tournament. Stadium built by racists and slave labour. Restrictions on what spectators can wear. Ileagal to enjoy your fav cold beverage. Unlike you I believe in freedoms. So attention sponsors I wont be watching. #WorldCup2022
854,neutral,negative,neutral,positive,neutral,neutral,A seguir GO GO !!  #DreamerFifa2022 #WorldCup2022  #JUNGKOOKxFIFA  #JungkookAtFIFAWorldCup  #BoArmyBangtan  @BTS_twt https://t.co/Y4gECrQCJL
855,neutral,positive,negative,neutral,positive,positive,JK Live in Qatar! Visit here: https://t.co/AjuRn82bKB  #bts #BTSARMY #JKLive #worldcup2022 #Qatar2022 https://t.co/sRJ4IiC1qj
856,positive,negative,neutral,neutral,positive,positive,"H.H. The Amir Sheikh Tamim bin Hamad Al Thani and H.E. Sheikh Jassim bin Hamad Al Thani greets Ghanim Al Muftah, one of the stars of the World Cup opening ceremony.    #ILoveQatar #Qatar2022 #WorldCup #WorldCup2022 #FIFAWorldCup #FIFAWorldCupQatar #WorldCupQatar2022 https://t.co/oPbhGD4yh6"
857,neutral,negative,negative,negative,negative,positive,"Now, if you can’t respect and accept that fact my sincere advice to you would be to stay in your utopia, educate yourself and refrain from promoting hate and racism   #qatar2022 #qatarworldcup2022 #qatar #worldcup2022 #school #respect #culture #people"
858,positive,positive,neutral,neutral,negative,neutral,Qatar gon be the only host nation not to have had a shot on target💀💀 #worldcup2022
859,neutral,positive,positive,negative,negative,negative,Morgan Freeman. What a retard. #WorldCup2022 https://t.co/IHDxbPItWx
860,positive,neutral,positive,positive,positive,positive,"Tomorrow USA plays Wales in the World Cup! We’ll be opening at 10am and have the game on at 11!   For all three USA games we’ll be open at 10am for you to watch with us! 11/21, 11/25, and 11/29. Go USA! ⚽️🏆 . . . #hellbentbrewing #WorldCup #WorldCup2022 #drinklocal https://t.co/dHPi06XEZV"
861,positive,neutral,neutral,neutral,positive,negative,Ennergized to shock the hosts ⚡️  #ennervalencia #enner #ecuador #latri #fifaworldcup #worldcup2022 #qatar2022 #worldcup #smsports 🇪🇨 https://t.co/hLtAcVjvyY
862,neutral,neutral,positive,negative,neutral,negative,"Today kick starts @FIFAWorldCup and we're blowing the whistle on Domestic Abuse.  Alcohol and football frustration is no excuse for abuse.  If you are frightened in your own home, please don't suffer in silence.  Report to us – we can help you.  #WorldCup2022 https://t.co/UWA95jzdH4"
863,neutral,positive,neutral,positive,positive,positive,"Among the sports-related games, FIFA is the most outstanding since it has many fans worldwide ⚽ Do you know which ones are the best? 🎮 #Ugami #gamer #worldcup2022 https://t.co/Eghgbql5HC"
864,neutral,neutral,neutral,negative,negative,negative,"World Cup 2018 - Semi final Euro 2020 - Final World Cup 2022 - ???  Despite reaching the latter stages of the last two major tournaments, England's form going into this is not the best, with no wins in their last 6 competitive matches 📉  Where will 🏴󠁧󠁢󠁥󠁮󠁧󠁿 finish? 🤔 #WorldCup2022 https://t.co/76Nqa3txhQ"
865,neutral,negative,neutral,positive,positive,positive,Jungkook hyungs showing support for their Golden Maknae beautiful to see you did well Jungkook🥰💜💜  Proud hyungs 😭😭  #jungkookworldcup #jungkook #jk #dreamers2022 #worldcup2022 #fifaworldcup https://t.co/hutk9gkmDx
866,negative,negative,neutral,neutral,neutral,neutral,Adnan Custovic out as Kortrijk manager after just 12 games in charge - Get Belgian &amp; Dutch Football News https://t.co/dr7iRIhI32 #DeNet #worldcup2022 #CristianoRonaldo #cristiano 🐶🐱😹😘😋🤩
867,neutral,negative,neutral,positive,positive,positive,Fancy getting involved in a bet for England's #WorldCup2022 opener? ⚽️  We're giving you a £1 free bet to use on #BuildABet 🤑   Opt-in below &amp; build your bet! 🔽
868,neutral,neutral,neutral,neutral,neutral,neutral,"COLOMBIAN SINGER MALUMA:  The star features alongside Nicki Minaj and Myriam Fares on Tukoh Taka, the official Fifa Qatar World Cup anthem. ^MA #FIFAWorldCup #WorldCup2022 #LOOKUPTV https://t.co/J9yQg2aSjH"
869,positive,negative,positive,positive,positive,positive,"#LUFC Tyler Adams reacted as the USA's captain in #WorldCup2022.  ""It's a huge honor for me, obviously, to be named captain of this team. A very young team, but a lot of credit to my teammates."""
870,positive,neutral,negative,positive,positive,positive,Members &amp; Guests.  Every game live on our HQ screens. We'll have competition's throughout the tournament and a few treats in store. Watch the soccer while enjoying delicious food &amp; drink at the Felons Club #worldcup2022 #belfast #WestBelfast https://t.co/9NN0lT2lJI
871,positive,neutral,positive,neutral,neutral,positive,True or False???  #Quatar2022 #ecuador #Qatar  #EcuadorvsQatar #WorldCup2022 #FIFAWorldCup #Mondial2022 https://t.co/H7D8d2nHXF
872,neutral,neutral,neutral,positive,positive,positive,A good documentary about the migrant workers who built the stadiums and made the #WorldCup possible.  #WorldcupQatar2022 #WorldCup2022    https://t.co/cSUIak46BD
873,positive,negative,neutral,positive,positive,positive,"If you have any interest in #worldcup2022, do yourself a favor and go listen to this new podcast. https://t.co/w2oiToj7SG"
874,negative,neutral,neutral,neutral,negative,positive,#Britain going on about #Qatar2022 #HumanRights like #GrenfellTower never happened in the #UK #London #hypocrisy #Qatar #QatarWorldCup #worldcup2022
875,negative,positive,neutral,neutral,neutral,neutral,@elonmusk Where do we watch it live? #WorldCup #WorldCup2022
876,neutral,neutral,positive,neutral,neutral,positive,Qatar Football World Cup being played on the bones of thousands of construction workers https://t.co/Y3fSy54zxB #Qatar2022 #WorldCup #WorldCup2022
877,negative,negative,neutral,positive,positive,positive,#WorldCup2022 @IranFootballHQ Ehsan Hajsafi the Iranian World Cup Captain has bravely spoken out over conditions in his home country. Felt very humble reading of his bravery and integrity  https://t.co/1jCrj5JrDo
878,neutral,negative,neutral,neutral,neutral,neutral,♖ 4K Wallpapers  ➭ World Cup 2022  ➭ Ecuador🇪🇨 #WorldCup2022 #Qatar2022 https://t.co/iQf3FEubTo
879,neutral,neutral,neutral,neutral,positive,neutral,Only received one so far but this is my first @FIFAWorldCup  and @cryptocom #nft let's see how it goes! #lfg #crofam #crypto #cro #dbf #mmf #loadedlions #WorldCup2022  #crofamsticktogether https://t.co/8RKVEIe6g6
880,neutral,positive,positive,positive,positive,positive,What Qatar is doing during #WorldCup2022 to spread the message of Islam 🕌  Sayings of Prophet ﷺ in every corner promoting the beauty of Islam. https://t.co/Pfb4xamGuK
881,neutral,negative,neutral,negative,negative,neutral,"2 rupees company ,@JioCinema  couldn't stream the #WorldCup2022 , chapri"
882,positive,neutral,positive,neutral,neutral,negative,"On this chaotic World Cup opening day I found a bit of time to open Pack #4 in my Pack-a-day @PaniniAmerica Prizm #WorldCup2022 series. Notable: Tah Global Reach, Martinelli RC https://t.co/fZnKt0H7u5"
883,positive,positive,positive,negative,negative,negative,"#Qatar opened its long-awaited #WorldCup with a 2-0 loss to #Ecuador on Sunday, a disappointing start to an event that required more than a decade of planning; $200 billion in investments; and countless uncomfortable questions about human rights. #Qatar2022 #Doha #WorldCup2022 https://t.co/KwTvu6B1cg"
884,positive,neutral,positive,positive,neutral,neutral,Air traffic of Qatar in the picture !   Qatari airspace is at its busiest in history in the run-up to the World Cup #QatarWorldCup2022  #WorldCup2022  #Qatar2022 https://t.co/YqZlbXBVni
885,positive,neutral,neutral,positive,positive,neutral,@BirbDefi Let's! #WorldCup2022 #BIRB $BIRB   @linmajo @MarjerlinB @Jostrde
886,positive,negative,neutral,negative,negative,positive,"Got little interest in the current #WorldCup2022 nothing to do with Qatar or anything political, it mainly because it has come bang in the middle of the football season and National Hunt racing is in full flow. Had a little ew bet on Croatia 🇭🇷 outright, absolutely nothing else."
887,neutral,positive,neutral,positive,positive,positive,3 things we learnt after Qatar 0 Ecuador 2.  1.Ener Valencia is still decent. 2.Qatar have a long way to go football wise. 3. World Cup atmosphere will always be unique. #FIFAWorldCup #Qatar2022 #FIFAWorldCup2022 #QatarWorldCup2022 #WorldCup2022 #EnerValencia #WorldCup
888,neutral,neutral,neutral,positive,positive,neutral,#worldcup2022 is gonna be very lit!
889,neutral,positive,positive,negative,neutral,positive,So drank supporters of #england kicked punched and humilated all italians after the loosing final in #London #Wembley and now is pushing #qatar at #WorldCup2022 with their morals in their match. https://t.co/99QqCig0qc
890,positive,negative,positive,positive,positive,positive,The only serious World Cup title contenders. Yes let's do it Bavarians. #TeamGermany #WorldCup2022 https://t.co/cSVlPkNfmu
891,neutral,negative,positive,neutral,neutral,neutral,Highlights world cup 2022 Ecuador vs Qatar | 2022 FIFA World Cup #FIFAWorldCup  #FIFAWorldCup2022 #WorldCup2022  #worldcup2022qatar  #FIFAWorldCup2022 live  Watch Highlights world cup 2022 Ecuador vs Qatar ⚽️🔗👇 https://t.co/uJzqjLjeqb https://t.co/pROMzCq0cF
892,neutral,neutral,positive,positive,positive,positive,Jk a pure heart &amp; that smile everything beautiful you did well Jungkook 🥹💜💜💜💜🥰  #jungkookworldcup #jungkook #jk #dreamers2022 #worldcup2022 #fifaworldcup https://t.co/qo1Cp5CItL
893,positive,neutral,negative,neutral,neutral,neutral,First round; Team 7 v Team 8 #WorldCup2022 #teammaltby   Follow the thread to vote! https://t.co/TdtnDpJ69g
894,neutral,negative,positive,negative,negative,positive,The Islamic Republic has attacked the city of #Mahabad with heavy artillery and is shooting at the houses of innocent people! The Islamic Republic is slaughtering innocent people! Be their voice. @UN #مهسا_امینی #WorldCup2022 شصت و هفت.
895,positive,neutral,neutral,neutral,neutral,neutral,A Qatari man distributes Pro-Palestine armbands in Qatar before the start of #WorldCup2022 https://t.co/FUyAkUcKgv
896,positive,negative,neutral,neutral,neutral,negative,We’ve already had the first goalkeeper moment of madness at this year’s #WorldCup…😳😬  How many more until the show reaches the level of France 1998?🇫🇷  @Timotei365 for @goalkeeper_com ✍️  #WorldCup2022 #GKBlog #Qatar2022   https://t.co/4KRayZHiNe
897,neutral,negative,negative,neutral,neutral,neutral,How do you see the Argentinians?    #LionelMessi #WorldCup2022 #records https://t.co/50bhfZ2jp2
898,negative,neutral,positive,neutral,neutral,neutral,While everyone was busy watching #FIFAWorldCup opening. Johnny Harris dropped a 💣 https://t.co/5iKcjTkmKK #QatarWorldCup2022 #Qatar2022 #WorldCup #WorldCup2022
899,positive,neutral,negative,neutral,neutral,neutral,"HH Sheikha Jawaher, consort of HH the Emir, receives the wives of state leaders attending the opening ceremony of the #WorldCup2022 at Al Bayt Stadium.   #MarsalQatar #FIFAWorldCup https://t.co/EgHo59gndP"
900,neutral,negative,negative,negative,positive,positive,"It's only day 1, but the hero of the World Cup has emerged.  Mocking the country that bribed its way into hosting and allowed the deaths of 6,500 migrant workers is always a win. #WorldCup #WorldCup2022   https://t.co/SOBtAo8abr"
901,neutral,positive,neutral,neutral,neutral,positive,"""films, football, beer and above all, gambling filled up the horizon of their minds. To keep them in control was not difficult.”  ― George Orwell, 1984  #WorldCup2022"
902,positive,negative,negative,neutral,positive,positive,"Tomorrows bet  Load it👉 https://t.co/AF1tlcLQLP  Using William hill for the bet , not got an account ? Put £10 on the double and get £40 in free bets, get setup👉 https://t.co/mbhmNXZT9L  #double #betting #sports #GamblingTwitter #WorldCup2022 #football #Ronaldo #england #fun https://t.co/YkPumRFBwm"
903,positive,neutral,neutral,neutral,positive,neutral,Football fans raise Palestinian flags and chant for Palestine during a live broadcast of an Israeli channel from Qatar. 🇵🇸✌🏻#WorldCup2022. #RaisePalestineFlag https://t.co/PadKy16l7K
904,negative,negative,neutral,positive,positive,positive,Qatar is doing very well in #WorldCup2022 to spread the message of Islam 🕌 by  Saying of Prophet ﷺ (PBUH) in every corner promoting the beauty of islam https://t.co/grLOTPOMvq
905,neutral,negative,negative,positive,positive,positive,Wow. This is what sports should be about. #Qatar2022 #Qatar #football #WorldCup #WorldCup2022 https://t.co/Y43YLCdEpo
906,neutral,positive,positive,positive,positive,positive,Jk owned the stage You did well Jungkook🔥🔥💜💜  #jungkookworldcup #jungkook #jk #dreamers2022 #worldcup2022 #fifaworldcup https://t.co/L28uG4JJ89
907,negative,positive,positive,positive,positive,positive,I paid respect to my dad today on #worldcup2022 day. He’s the reason why I love the sport so much. https://t.co/GwMND5MvuN
908,neutral,negative,positive,positive,positive,positive,A Tunisian fan kisses and raises the Palestinian flag after he arrived Qatar to support his country's team participating in the #WorldCup2022.  #RaisePalestineFlag https://t.co/iEADnhmDCJ
909,positive,positive,negative,neutral,positive,positive,My country Poland 🇵🇱 is playing Mexico 🇲🇽 on Tuesday! Who y’all rooting for ? #WorldCup #WorldCup2022
910,neutral,negative,neutral,neutral,negative,negative,FIFA World Cup 2022; Qatar becomes the first host nation in history to loose in a World Cup opener. Watch the full video review on YouTube: https://t.co/XAtsIaicXB #FIFAWorldCup #WorldCup #WorldCup2022 #Qatar2022 #Qatar https://t.co/cYicdytDsq
911,neutral,negative,neutral,neutral,neutral,positive,Who you guys got winning the world cup?🏆  #WorldCup2022
912,positive,neutral,neutral,neutral,neutral,neutral,Argentina training session today  #WorldCup2022 #WorldCup #Argentina https://t.co/BGf4VPGMGh
913,positive,neutral,neutral,neutral,neutral,positive,Betting with Betvictor The Online Gambling Company  1. Opt-In via Offers tab 2. Place your first bet £5 3. Get £30 Bonus Link below https://t.co/BvAoi9VlLw  . 18+T&amp;Cs GambleAwear #WorldcupQatar2022 #WCI #WorldCup2022 #sportsbetting #WorldCup2022 #gamblingtwitter #HorseRacing'0 https://t.co/gLnn7vOzVC
914,neutral,negative,neutral,negative,negative,positive,"If you believe that #WorldCup2022 won't be the same because of corruption, you clearly have not been paying attention https://t.co/7j0ZvKvKNv"
915,neutral,negative,negative,neutral,neutral,positive,As of today -20/11/2022 . I predicted Portugal 🇵🇹 will beat Germany 🇩🇪 in the 2022 World Cup final. Play @AJEnglish’s #WorldCup2022 AI predictor game. https://t.co/3RPvcN3Z47
916,neutral,negative,neutral,positive,positive,positive,"@HernanTVP @ESPNLosAngeles 🤣🤣🤣🤣🤣 wow!!! that’s an old picture , I believe 2016-2017?? But despite my love for Mexico 🇲🇽 . Yes, I have chosen Argentina as my favorite to win the #WorldCup2022  @ESPNLosAngeles #mythicalmoney"
917,neutral,positive,positive,positive,positive,positive,Tennis star Leylah Annie Fernandez showing her amazing football (soccer) skills ready for #WorldCup @TennisChannel #WorldCup2022 #letsgoleylah @leylahfernandez #ATPFinals #NittoATPFinals #Tennis #AustralianOpen2023 #AO2023 #soccer https://t.co/qF1ViMRrKy
918,neutral,neutral,positive,neutral,neutral,neutral,‘Morocco’s Guardiola’ leads way for African coaches at Qatar World Cup #WorldCup2022 #Regragui #Cissé #Song #Addo #Kadri https://t.co/4zJA90z2VX
919,positive,positive,positive,negative,negative,positive,There's goes another excuse.. #Qatar #disaster #WorldCup2022 #QatarWorldCup2022 #FIFAWorldCupQatar2022 https://t.co/cMbjMrKATH
920,neutral,negative,neutral,positive,positive,positive,Here we go. Let's encourage Tunisia even if it never won the first step. 😁🏆⚽ Football is the best sport in the world! #sport #worldcup2022 #photos #football #Tunisia 🇹🇳 https://t.co/gcpa3OTRxT
921,neutral,neutral,positive,positive,positive,positive,Wow JK performance always amazing so proud of him our shinning star YOU DID WELL JUNGKOOK 💜💜💜💜🇰🇷  #jungkookworldcup #jungkook #jk #dreamers2022 #worldcup2022 #fifaworldcup https://t.co/VmHaMmV2Rw
922,negative,negative,neutral,positive,negative,positive,"wow, this tent encampment is outrageous. https://t.co/diFV0wRtVG #WorldCup2022"
923,positive,negative,positive,neutral,positive,positive,The Ministry announces facilities to attract fans participating in the World Cup 2022 who hold the (Hayya) fan card.  Among these measures are 50% discounts on fees for visiting archaeological sites and museums affiliated with the SCA. #WorldCup #WorldCup2022 #VisitEgypt https://t.co/R1TKunIWfu
924,positive,neutral,neutral,neutral,positive,neutral,Hello #WorldCup2022 🫡
925,negative,positive,neutral,negative,negative,positive,It’s our twi commentators for me 😂😂😂 Does anyone know where I can watch the World Cup with a commentary like this? Peter Drury got nothing on these two commentators 😂😂 Dede Ayew Ghone  #worldcup #WorldCup2022
926,positive,positive,positive,negative,negative,neutral,"@Habib78109156 @Football__Tweet @TeleFootball ""Bedroom choice"" as if sexual orientation is only about sex.  Educate yourself before posting.  #Qatar2022 #WorldCup2022 #FIFAWorldCup"
927,neutral,positive,positive,positive,positive,positive,"🎉 Happy 60th Birthday to club legend Tata Martino.  Tata holds the record for most Newell's Old Boys appearances (505) &amp; won titles as a player in 88, 90, 91 &amp; 92 and as a manager in 2013.   On Tuesday, he will coach Mexico in their first #WorldCup2022 game against Poland. https://t.co/pggqJDBqKN"
928,neutral,negative,negative,positive,neutral,positive,Love it or hate it this is the future of var offside #WorldCup2022 #ecu #QatarWorldCup2022 https://t.co/CsDf3QEHZx
929,neutral,positive,neutral,positive,positive,positive,Thread of my favorite #WorldCup2022 moments: https://t.co/QMSswEApDk
930,positive,neutral,negative,positive,positive,positive,Final preparations are underway for the 2023 FIFA World Cup at the Triton Inn with an impressive 5m LED screen. Is it coming home…. #WorldCup2022 #marqueehire #eventsintents https://t.co/9eDG33ClkH
931,negative,negative,positive,neutral,positive,positive,"Leagues with most players at #WorldCup2022: Just like at the previous World Cup in 2018, the #PremierLeague is the most well-represented league at the 2022 tournament with 136 players being called up to their respective international squads https://t.co/e9rVOp4Ojt"
